20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
